"pop_num"	"variable"	"value"	"mip_ci"	"upper_ci"	"lower_ci"
"81"	82	"rand_mip"	78.0930930930931	0.392440535442832	78.4855336285359	77.7006525576503
"82"	83	"rand_mip"	78.5735735735736	0.377542483369216	78.9511160569428	78.1960310902044
"83"	84	"rand_mip"	78.8338338338338	0.395977894706497	79.2298117285403	78.4378559391273
"84"	85	"rand_mip"	79.2102102102102	0.371038890243843	79.581249100454	78.8391713199664
"85"	86	"rand_mip"	79.6636636636637	0.387700820315488	80.0513644839792	79.2759628433482
"86"	87	"rand_mip"	79.5885885885886	0.369840129129456	79.9584287177181	79.2187484594591
"87"	88	"rand_mip"	80.021021021021	0.391209427001956	80.412230448023	79.629811594019
"88"	89	"rand_mip"	80.3863863863864	0.382666405645191	80.7690527920316	80.0037199807412
"89"	90	"rand_mip"	81.1881881881882	0.388326093036737	81.5765142812249	80.7998620951515
"90"	91	"rand_mip"	81.1971971971972	0.373912766553332	81.5711099637505	80.8232844306439
"91"	92	"rand_mip"	81.6946946946947	0.386657818678875	82.0813525133736	81.3080368760158
"92"	93	"rand_mip"	81.7307307307307	0.374173056556362	82.1049037872871	81.3565576741743
"93"	94	"rand_mip"	82.6296296296296	0.383302301756104	83.0129319313857	82.2463273278735
"94"	95	"rand_mip"	82.7227227227227	0.375263721984766	83.0979864447075	82.3474590007379
"95"	96	"rand_mip"	83.003003003003	0.393269573964143	83.3962725769671	82.6097334290389
"96"	97	"rand_mip"	83.5185185185185	0.385835466248073	83.9043539847666	83.1326830522704
"97"	98	"rand_mip"	83.6346346346346	0.378805344242721	84.0134399788773	83.2558292903919
"98"	99	"rand_mip"	84.0810810810811	0.384506924369764	84.4655880054509	83.6965741567113
"99"	100	"rand_mip"	83.986986986987	0.385050970535028	84.372037957522	83.601936016452
"100"	2	"baci_a_mip"	1.37437437437437	0.0711311919023502	1.44550556627672	1.30324318247202
"101"	3	"baci_a_mip"	3.39139139139139	0.114729398711544	3.50612079010293	3.27666199267985
"102"	4	"baci_a_mip"	5.45545545545546	0.144869722971791	5.60032517842725	5.31058573248367
"103"	5	"baci_a_mip"	7.46746746746747	0.171495719086522	7.63896318655399	7.29597174838095
"104"	6	"baci_a_mip"	9.47047047047047	0.199947374748123	9.67041784521859	9.27052309572235
"105"	7	"baci_a_mip"	11.8948948948949	0.22807520076808	12.122970095663	11.6668196941268
"106"	8	"baci_a_mip"	13.4694694694695	0.229062511586185	13.6985319810557	13.2404069578833
"107"	9	"baci_a_mip"	15.2862862862863	0.252539048002056	15.5388253342884	15.0337472382842
"108"	10	"baci_a_mip"	17.1631631631632	0.263087973684396	17.4262511368476	16.9000751894788
"109"	11	"baci_a_mip"	18.8408408408408	0.274604775598778	19.1154456164396	18.566236065242
"110"	12	"baci_a_mip"	20.5865865865866	0.288357705103661	20.8749442916903	20.2982288814829
"111"	13	"baci_a_mip"	22.3583583583584	0.288099395632263	22.6464577539907	22.0702589627261
"112"	14	"baci_a_mip"	23.6156156156156	0.307983248533221	23.9235988641488	23.3076323670824
